t,open,high,low,close,volume
2024-01-02,8.06,8.09,7.88,7.88,115836600.0
2024-01-03,7.86,7.89,7.82,7.87,73361000.0
2024-01-04,7.86,7.86,7.75,7.78,86419400.0
2024-01-05,7.77,8.11,7.74,7.94,199162200.0
2024-01-08,7.9,7.97,7.78,7.82,112115600.0
2024-01-09,7.83,7.86,7.76,7.85,76619400.0
2024-01-10,7.83,7.86,7.76,7.76,85862100.0
2024-01-11,7.75,7.89,7.7,7.84,93468600.0
2024-01-12,7.8,7.94,7.78,7.86,77258200.0
2024-01-15,7.83,7.96,7.8,7.88,74513300.0
2024-01-16,7.86,8.02,7.83,8.01,143831300.0
2024-01-17,8.0,8.06,7.9,7.9,148229600.0
2024-01-18,7.88,7.91,7.67,7.87,175513200.0
2024-01-19,7.83,7.87,7.77,7.84,96398100.0
2024-01-22,7.83,7.93,7.71,7.77,158032000.0
2024-01-23,7.72,7.85,7.63,7.83,113554500.0
2024-01-24,7.9,8.01,7.74,8.0,175912300.0
2024-01-25,8.0,8.21,7.94,8.17,216251400.0
2024-01-26,8.14,8.34,8.11,8.29,227228700.0
2024-01-29,8.36,8.55,8.25,8.37,237625200.0
2024-01-30,8.28,8.37,8.16,8.17,157912200.0
2024-01-31,8.13,8.23,8.05,8.13,135721700.0
