t,open,high,low,close,volume
2024-01-02,1632.64,1635.83,1595.74,1602.65,3215600.0
2024-01-03,1598.75,1612.86,1593.97,1611.64,2022900.0
2024-01-04,1610.64,1610.64,1580.57,1586.64,2155100.0
2024-01-05,1578.97,1596.3,1569.75,1581.0,2024300.0
2024-01-08,1578.64,1579.64,1557.65,1561.63,2558600.0
2024-01-09,1558.65,1569.96,1552.71,1558.64,2441200.0
2024-01-10,1558.74,1577.1,1555.64,1559.14,1735100.0
2024-01-11,1557.74,1575.58,1555.7,1564.21,1644100.0
2024-01-12,1557.61,1568.9,1557.04,1560.7,1160300.0
2024-01-15,1552.64,1572.61,1552.09,1557.64,1785400.0
2024-01-16,1556.14,1564.64,1542.58,1557.07,2590300.0
2024-01-17,1547.64,1553.12,1494.64,1494.64,5163300.0
2024-01-18,1491.64,1530.44,1473.19,1528.51,6044000.0
2024-01-19,1526.51,1555.65,1518.52,1552.64,4637800.0
2024-01-22,1546.64,1560.64,1536.52,1559.64,4694600.0
2024-01-23,1549.65,1557.59,1526.64,1536.64,3483500.0
2024-01-24,1546.64,1551.48,1521.2,1543.64,3321600.0
2024-01-25,1544.46,1558.64,1539.64,1555.64,3120600.0
2024-01-26,1548.0,1561.74,1540.64,1554.96,2695500.0
2024-01-29,1557.94,1578.22,1557.93,1567.64,3142100.0
2024-01-30,1567.62,1567.62,1527.64,1530.64,3086600.0
2024-01-31,1530.64,1537.61,1515.77,1522.55,2964900.0
