date,open,high,low,close,volume
2024-01-02,10.4400,10.4800,10.1500,10.1500,81110600
2024-01-03,10.1500,10.2300,10.0400,10.1300,61092100
2024-01-04,10.1000,10.1100,9.8900,9.9300,85191900
2024-01-05,9.9200,10.1300,9.8800,9.9900,73960400
2024-01-08,10.0300,10.1100,9.8100,9.8200,65800700
2024-01-09,9.8300,9.9800,9.7300,9.8800,53090000
2024-01-10,9.8500,9.8800,9.7200,9.7400,60831500
2024-01-11,9.7300,9.8100,9.6200,9.7600,73162300
2024-01-12,9.7000,9.8700,9.6600,9.7000,71873700
2024-01-15,9.6200,9.7800,9.4400,9.7100,78560600
2024-01-16,9.6700,9.7000,9.4800,9.6100,65946700
2024-01-17,9.5700,9.5700,9.3100,9.3400,79563400
2024-01-18,9.2900,9.4100,9.1300,9.4000,89350700
2024-01-19,9.3100,9.4500,9.2700,9.4100,60929700
2024-01-22,9.2700,9.3000,9.0000,9.0500,93734500
2024-01-23,9.0000,9.2100,8.9300,9.1800,78174900
2024-01-24,9.2300,9.4400,9.1000,9.4100,84424200
2024-01-25,9.4600,9.9700,9.4200,9.9600,151285600
2024-01-26,9.9500,10.3500,9.9000,10.2000,162142400
2024-01-29,10.4100,10.4500,10.0600,10.0600,114529700
2024-01-30,10.0000,10.0500,9.7900,9.7900,79792700
2024-01-31,9.7700,9.8500,9.5600,9.6000,67478900
